No.,Name,Type 1,Type 2,HP,Strength,Max Strength,Dexterity,Max Dexterity,Vitality,Max Vitalty,Special,Max Special,Insight,Max Insight,Ability 1,Ability 2,Hidden Ability,Event Abilities,Unevolved?,Has a form?,Recommended Rank,Gender Type
#366,Clamperl,Water,,3,2,4,1,3,2,5,2,5,2,4,Swift Swim,,Rattled,,Yes,,Beginner,
#367,Huntail,Water,,4,3,6,2,4,3,6,3,6,2,5,Swift Swim,,Water Veil,,,,Amateur,
#368,Gorebyss,Water,,4,2,5,2,4,3,6,3,6,2,5,Swift Swim,,Hydration,,,,Amateur,
#369,Relicanth,Water,Rock,5,2,5,2,4,3,7,2,4,2,4,Swift Swim,Rock Head,Sturdy,,,,Amateur,
#370,Luvdisc,Water,,4,1,3,3,6,2,4,1,3,2,4,Swift Swim,,Hydration,,,,Beginner,
#371,Bagon,Dragon,,3,2,5,2,4,2,4,1,3,1,3,Rock Head,,Sheer Force,,Yes,,Amateur,
#372,Shelgon,Dragon,,4,3,6,2,4,3,6,2,4,2,4,Rock Head,,Overcoat,,Yes,,Amateur,
#373,Salamence,Dragon,Flying,5,3,7,3,6,2,5,3,6,2,5,Intimidate,,Moxie,,,Yes,Pro,
#373,Mega-Salamence,Dragon,Flying,6,4,8,3,7,3,7,3,7,2,5,Aerialate,,,,,,Master,
#374,Beldum,Steel,Psychic,3,2,4,1,3,2,5,1,3,2,4,Clear Body,,Light Metal,,Yes,,Beginner,N
#375,Metang,Steel,Psychic,4,2,5,2,4,3,6,2,4,2,5,Clear Body,,Light Metal,,Yes,,Amateur,N
#376,Metagross,Steel,Psychic,5,3,7,2,5,3,7,3,6,2,5,Clear Body,,Light Metal,,,Yes,Pro,N
#376,Mega-Metagross,Steel,Psychic,6,4,8,3,6,4,8,3,6,3,6,Tough Claws,,,,,,Master,N
#377,Regirock,Rock,,4,6,6,4,4,10,10,4,4,6,6,Clear Body,,Sturdy,,,,Master,N
#378,Regice,Ice,,4,4,4,4,4,6,6,6,6,10,10,Clear Body,,Ice Body,,,,Master,N
#379,Registeel,Steel,,4,5,5,4,4,8,8,5,5,8,8,Clear Body,,Light Metal,,,,Master,N
#380,Latias,Dragon,Psychic,4,5,5,6,6,5,5,6,6,7,7,Levitate,,,,,Yes,Master,F
#380,Mega-Latias,Dragon,Psychic,5,6,6,6,6,7,7,7,7,8,8,Levitate,,,,,,Master,F
#381,Latios,Dragon,Psychic,4,5,5,6,6,5,5,7,7,6,6,Levitate,,,,,Yes,Master,M
#381,Mega-Latios,Dragon,Psychic,5,7,7,6,6,6,6,8,8,7,7,Levitate,,,,,,Master,M
#382,Kyogre,Water,,6,6,6,5,5,5,5,8,8,7,7,Drizzle,,,,,Yes,Master,N
#382,Primal Kyogre,Water,,10,8,8,5,5,5,5,9,9,8,8,Primordial Sea,,,,,,Master,N
#383,Groudon,Ground,,5,8,8,5,5,7,7,6,6,5,5,Drought,,,,,Yes,Master,N
#383,Primal Groudon,Ground,Fire,7,9,9,5,5,8,8,8,8,5,5,Desolate Land,,,,,,Master,N
#384,Rayquaza,Dragon,Flying,8,8,8,6,6,5,5,8,8,5,5,Air Lock,,,,,Yes,Master,N
#384,Mega-Rayquaza,Dragon,Flying,11,9,9,6,6,6,6,9,9,6,6,Delta Stream,,,,,,Master,N
#385,Jirachi,Steel,Psychic,5,6,6,6,6,6,6,6,6,6,6,Serene Grace,,,,,Yes,Master,N
#386,Deoxys,Psychic,,4,8,8,8,8,4,4,8,8,4,4,Pressure,,,,,Yes,Master,N
#386,Attack Deoxys,Psychic,,4,10,10,8,8,2,2,10,10,2,2,Pressure,,,,,Yes,Master,N
#386,Defense Deoxys,Psychic,,4,5,5,5,5,9,9,5,5,9,9,Pressure,,,,,Yes,Master,N
#386,Speed Deoxys,Psychic,,4,6,6,10,10,5,5,6,6,5,5,Pressure,,,,,Yes,Master,N
#387,Turtwig,Grass,,3,2,4,1,3,2,4,2,4,2,4,Overgrow,,Shell Armor,,Yes,,Starter,
#388,Grotle,Grass,,4,2,5,1,3,2,5,2,4,2,4,Overgrow,,Shell Armor,,Yes,,Amateur,
#389,Torterra,Grass,Ground,5,3,6,2,4,3,6,2,5,2,5,Overgrow,,Shell Armor,,,,Ace,
#390,Chimchar,Fire,,3,2,4,2,4,1,3,2,4,1,3,Blaze,,Iron Fist,,Yes,,Starter,
#391,Monferno,Fire,Fighting,4,2,5,2,5,2,4,2,5,2,4,Blaze,,Iron Fist,,Yes,,Amateur,
#392,Infernape,Fire,Fighting,5,3,6,3,6,2,5,3,6,2,5,Blaze,,Iron Fist,,,,Ace,
#393,Piplup,Water,,3,2,4,1,3,2,4,2,4,2,4,Torrent,,Defiant,,Yes,,Beginner,
#394,Prinplup,Water,,4,2,4,2,4,2,4,2,5,2,5,Torrent,,Defiant,,Yes,,Amateur,
#395,Empoleon,Water,Steel,5,2,5,2,4,2,5,3,6,3,6,Torrent,,Defiant,,,,Ace,
#396,Starly,Normal,Flying,3,2,4,2,4,1,3,1,3,1,3,Keen Eye,,Reckless,,Yes,,Starter,
#397,Staravia,Normal,Flying,4,2,5,2,5,2,4,1,3,1,3,Intimidate,,Reckless,,Yes,,Amateur,
#398,Staraptor,Normal,Flying,5,3,7,3,6,2,5,2,4,2,4,Intimidate,,Reckless,,,,Ace,
#399,Bidoof,Normal,,3,2,4,1,3,1,3,1,3,1,3,Simple,Unaware,Moody,,Yes,,Starter,
#400,Bibarel,Normal,Water,4,2,5,2,5,2,4,2,4,2,4,Simple,Unaware,Moody,,,,Beginner,
#401,Kricketot,Bug,,3,1,3,1,3,1,3,1,3,1,3,Shed Skin,,Run Away,,Yes,,Starter,
#402,Kricketune,Bug,,4,2,5,2,4,2,4,2,4,2,4,Swarm,,Technician,,,,Beginner,
#403,Shinx,Electric,,3,2,4,2,4,1,3,1,3,1,3,Rivalry,Intimidate,Guts,,Yes,,Beginner,
#404,Luxio,Electric,,4,2,5,2,4,2,4,2,4,2,4,Rivalry,Intimidate,Guts,,Yes,,Amateur,
#405,Luxray,Electric,,5,3,7,2,5,2,5,3,6,2,5,Rivalry,Intimidate,Guts,,,,Ace,
#406,Budew,Grass,Poison,3,1,3,2,4,1,3,2,4,2,5,Natural Cure,Poison Point,Leaf Guard,,Yes,,Starter,
#407,Roserade,Grass,Poison,5,2,5,2,5,2,4,3,7,3,6,Natural Cure,Poison Point,Leaf Guard,,,,Amateur,
#408,Cranidos,Rock,,3,3,7,2,4,1,3,1,3,1,3,Mold Breaker,,Sheer Force,,Yes,,Amateur,
#409,Rampardos,Rock,,4,4,8,2,4,2,4,2,4,2,4,Mold Breaker,,Sheer Force,,,,Ace,
#410,Shieldon,Rock,Steel,3,1,3,1,3,3,6,1,3,2,5,Sturdy,,Soundproof,,Yes,,Amateur,
#411,Bastiodon,Rock,Steel,4,2,4,2,4,4,8,2,4,3,7,Sturdy,,Soundproof,,,,Ace,
#412,Burmy,Bug,,3,1,3,1,3,2,4,1,3,2,4,Shed Skin,,Overcoat,,Yes,Yes,Starter,
#413,Grass Wormadam,Bug,Grass,4,2,4,1,3,3,6,2,5,2,5,Anticipation,,Overcoat,,,Yes,Beginner,F
#413,Steel Wormadam,Bug,Steel,4,2,4,1,3,3,6,2,4,2,6,Speed Boost,Compound Eyes,Overcoat,,,Yes,Beginner,F
#413,Ground Wormadam,Bug,Ground,4,2,5,1,3,3,6,2,4,2,5,Speed Boost,Compound Eyes,Overcoat,,,Yes,Beginner,F
#414,Mothim,Bug,Flying,4,3,6,2,4,2,4,3,6,2,4,Swarm,,Tinted Lens,,,,Amateur,M
#415,Combee,Bug,Flying,3,1,3,2,5,1,3,1,3,1,3,Honey Gather,,Hustle,,Yes,,Starter,
#416,Vespiquen,Bug,Flying,4,2,5,2,4,3,6,2,5,3,6,Pressure,,Unnverve,,,,Ace,F
#417,Pachirisu,Electric,,4,2,4,3,6,2,5,2,4,2,5,Run Away,Pickup,Volt Absorb,,,,Beginner,
#418,Buizel,Water,,3,2,4,2,5,1,3,2,4,1,3,Swift Swim,,Water Veil,,Yes,,Beginner,
#419,Floatzel,Water,,4,3,6,3,6,2,4,2,5,2,4,Swift Swim,,Water Veil,,,,Amateur,
#420,Cherubi,Grass,,3,1,3,1,3,2,4,2,4,2,4,Chlorophyll,,,,Yes,,Starter,
#421,Cherrim,Grass,,4,2,4,2,5,2,5,2,5,2,5,Flower Gift,,,,,Yes,Beginner,
#422,Shellos,Water,,3,2,4,1,3,2,4,2,4,2,4,Sticky Hold,Storm Drain,Sand Force,,Yes,Yes,Beginner,
#423,Gastrodon,Water,Ground,6,2,5,1,3,2,4,2,5,2,5,Sticky Hold,Storm Drain,Sand Force,,,Yes,Amateur,
#424,Ambipom,Normal,,4,3,6,3,6,2,4,2,4,2,4,Technician,Pickup,Skill Link,,,,Amateur,
#425,Drifloon,Ghost,Flying,3,2,4,2,5,1,3,2,4,2,4,Aftermath,Unburden,Flare Boost,,Yes,,Amateur,
#426,Drifblim,Ghost,Flying,7,2,5,2,5,1,3,2,5,2,4,Aftermath,Unburden,Flare Boost,,,,Ace,
#427,Buneary,Normal,,3,2,4,2,5,1,3,1,3,2,4,Run Away,Klutz,Limber,,Yes,,Starter,
#428,Lopunny,Normal,,4,2,5,3,6,2,5,2,4,3,6,Cute Charm,Klutz,Limber,,,Yes,Amateur,
#428,Mega-Lopunny,Normal,Fighting,5,3,7,3,7,3,6,2,4,3,6,Scrappy,,,,,Yes,Ace,
#429,Mismagius,Ghost,,4,2,4,3,6,2,4,3,6,3,6,Levitate,,,,,,Ace,
#430,Honchkrow,Dark,Flying,5,3,7,2,5,2,4,3,6,2,4,Insomnia,Super Luck,Moxie,,,,Amateur,
#431,Glameow,Normal,,3,2,4,2,5,1,3,1,3,1,3,Limber,Own Tempo,Keen Eye,,Yes,,Starter,
#432,Purugly,Normal,,4,2,5,3,6,2,4,2,4,2,4,Thick Fat,Own Tempo,Defiant,,,,Amateur,
#433,Chingling,Psychic,,3,1,3,2,4,2,4,2,4,2,4,Levitate,,,,Yes,,Starter,
#434,Stunky,Poison,Dark,3,2,4,2,4,2,4,1,3,1,3,Stench,Aftermath,Keen Eye,,Yes,,Beginner,
#435,Skuntank,Poison,Dark,5,2,5,2,5,2,4,2,5,2,4,Stench,Aftermath,Keen Eye,,,,Amateur,
#436,Bronzor,Steel,Psychic,3,1,3,1,3,2,5,1,3,2,5,Levitate,Heatproof,Heavy Metal,,Yes,,Beginner,N
#437,Bronzong,Steel,Psychic,4,2,5,1,3,3,6,2,5,3,6,Levitate,Heatproof,Heavy Metal,,,,Ace,N
#438,Bonsly,Rock,,3,2,5,1,2,3,6,1,2,2,4,Sturdy,Rock Head,Rattled,,Yes,,Starter,
#439,Mime Jr.,Psychic,Fairy,3,1,3,2,4,2,4,2,5,2,5,Soundproof,Filter,Technician,,Yes,,Starter,
#440,Happiny,Normal,,4,1,2,1,3,1,2,1,2,1,3,Natural Cure,Serene Grace,Friend Guard,,Yes,,Starter,F
#441,Chatot,Normal,Flying,4,2,4,2,5,2,4,2,5,2,4,Keen Eye,Tangled Feet,Big Pecks,,,Yes,Amateur,
#442,Spiritomb,Ghost,Dark,4,2,5,1,3,3,6,2,5,3,6,Pressure,Noctem,Infiltrator,,,Yes,Pro,
#443,Gible,Dragon,Ground,3,2,5,1,3,2,4,1,3,2,4,Sand Veil,,Rough Skin,,Yes,,Amateur,
#444,Gabite,Dragon,Ground,4,2,5,2,5,2,4,2,4,2,4,Sand Veil,,Rough Skin,,Yes,,Ace,
#445,Garchomp,Dragon,Ground,6,3,7,3,6,3,6,2,5,2,5,Sand Veil,,Rough Skin,,,Yes,Pro,
#445,Mega-Garchomp,Dragon,Ground,7,4,9,2,5,3,6,3,7,3,6,Sand Force,,,,,,Master,
#446,Munchlax,Normal,,5,2,5,1,2,1,3,1,3,2,5,Pickup,Thick Fat,Gluttony,,Yes,,Beginner,
#447,Riolu,Fighting,,3,2,5,2,4,1,3,1,3,1,3,Steadfast,Inner Focus,Prankster,,Yes,,Amateur,
#448,Lucario,Fighting,Steel,4,3,6,2,5,2,5,3,6,2,5,Steadfast,Inner Focus,Justified,,,Yes,Ace,
#448,Mega-Lucario,Fighting,Steel,5,4,8,3,6,2,5,3,7,2,5,Adaptability,,,,,,Pro,
#449,Hippopotas,Ground,,3,2,5,1,3,2,5,1,3,1,3,Sand Stream,,Sand Force,,Yes,,Amateur,
#450,Hippowdon,Ground,,5,3,6,2,4,3,6,2,4,2,5,Sand Stream,,Sand Force,,,,Ace,
#451,Skorupi,Poison,Bug,3,2,4,2,4,2,5,1,3,2,4,Battle Armor,Sniper,Keen Eye,,Yes,,Beginner,
#452,Drapion,Poison,Dark,4,2,5,3,6,3,6,2,4,2,5,Battle Armor,Sniper,Keen Eye,,,,Ace,
#453,Croagunk,Poison,Fighting,3,2,4,2,4,1,3,2,4,1,3,Anticipation,Dry Skin,Poison Touch,,Yes,,Beginner,
#454,Toxicroak,Poison,Fighting,4,3,6,3,6,2,4,3,6,2,4,Anticipation,Dry Skin,Poison Touch,,,,Amateur,
#455,Carnivine,Grass,,4,3,6,2,4,2,5,2,5,2,5,Levitate,,,,,,Amateur,
#456,Finneon,Water,,3,2,4,2,4,2,4,2,4,2,4,Swift Swim,Storm Drain,Water Veil,,Yes,,Beginner,
#457,Lumineon,Water,,4,2,5,2,5,2,5,2,5,2,5,Swift Swim,Storm Drain,Water Veil,,,,Amateur,
#458,Mantyke,Water,Flying,3,1,3,2,4,2,4,1,3,3,6,Swift Swim,Water Absorb,Water Veil,,Yes,,Beginner,
#459,Snover,Grass,Ice,3,2,4,1,3,2,4,2,4,2,4,Snow Warning,,Soundproof,,Yes,,Amateur,
#460,Abomasnow,Grass,Ice,4,2,5,2,4,2,5,2,5,2,5,Snow Warning,,Soundproof,,,Yes,Ace,
#460,Mega-Abomasnow,Grass,Ice,5,3,7,1,2,3,6,3,7,3,6,Snow Warning,,,,,,Pro,
#461,Weavile,Dark,Ice,4,3,7,3,7,2,4,2,4,2,5,Pressure,,Pickpocket,,,,Amateur,
#462,Magnezone,Electric,Steel,5,2,5,2,4,3,6,3,7,2,5,Magnet Pull,Sturdy,Analytic,,,,Ace,N
#463,Lickilicky,Normal,,5,2,5,2,4,3,6,2,5,3,6,Own Tempo,Oblivious,Cloudnine,,,,Ace,
#464,Rhyperior,Ground,Rock,6,3,7,1,3,3,7,2,4,2,4,Lightning Rod,Solid Rock,Reckless,,,,Pro,
#465,Tangrowth,Grass,,5,3,6,2,4,3,7,3,6,2,4,Chlorophyll,Leaf Guard,Regenerator,,,,Ace,
#466,Electivire,Electric,,5,3,7,3,6,2,4,3,6,2,5,Motor Drive,,Vital Spirit,,,,Ace,
#467,Magmortar,Fire,,5,3,6,2,5,2,4,3,7,3,6,Flame Body,,Vital Spirit,,,,Ace,
#468,Togekiss,Fairy,Flying,5,2,4,2,5,3,6,3,7,3,6,Hustle,Serene Grace,Super Luck,,,,Ace,
#469,Yanmega,Bug,Flying,4,2,5,3,6,2,5,3,6,2,4,Speed Boost,Compound Eyes,Frisk,,,,Ace,
#470,Leafeon,Grass,,4,3,6,3,6,3,7,2,4,2,4,Leaf Guard,,Chlorophyll,,,,Amateur,
#471,Glaceon,Ice,,4,2,4,2,4,3,6,3,7,3,6,Snow Cloak,,Ice Body,,,,Amateur,
#472,Gliscor,Ground,Flying,5,3,6,3,6,3,7,2,4,2,5,Hyper Cutter,Sand Veil,Poison Heal,,,,Ace,
#473,Mamoswine,Ice,Ground,6,3,7,2,5,2,5,2,5,2,4,Oblivious,Snow Cloak,Thick Fat,,,,Ace,
#474,Porygon-Z,Normal,,5,2,5,2,5,2,5,3,7,2,5,Adaptability,Download,Analytic,,,,Ace,N
#475,Gallade,Psychic,Fighting,5,3,7,2,5,2,4,2,4,3,6,Steadfast,,Justified,,,Yes,Ace,M
#475,Gallade,Psychic,Fighting,6,4,8,3,6,3,6,2,4,3,6,Inner Focus,,,,,,Pro,M
#476,Probopass,Rock,Steel,4,2,4,2,5,4,8,2,5,4,8,Sturdy,Magnet Pull,Sand Force,,,,Amateur,
#477,Dusknoir,Ghost,,4,3,6,2,4,3,7,2,4,3,7,Pressure,,Frisk,,,,Ace,
#478,Froslass,Ice,Ghost,4,2,5,3,6,2,5,2,5,2,5,Snow Cloak,,Cursed Body,,,Yes,Ace,F
#479,Rotom,Electric,Ghost,4,2,4,2,5,2,5,3,6,2,5,Levitate,,,,,Yes,Ace,N
#479,Rotom Heat,Electric,Fire,4,2,4,2,5,3,6,3,6,3,6,Levitate,,,,,,Ace,N
#479,Rotom Fan,Electric,Flying,4,2,4,2,5,3,6,3,6,3,6,Levitate,,,,,,Ace,N
#479,Rotom Mow,Electric,Grass,4,2,4,2,5,3,6,3,6,3,6,Levitate,,,,,,Ace,N
#479,Rotom Frost,Electric,Ice,4,2,4,2,5,3,6,3,6,3,6,Levitate,,,,,,Ace,N
#479,Rotom Wash,Electric,Water,4,2,4,2,5,3,6,3,6,3,6,Levitate,,,,,,Ace,N
#479,Rotom Dex,Electric,,4,2,4,2,5,3,6,3,6,3,6,Levitate,,,,,,Ace,N
#480,Uxie,Psychic,,4,5,5,6,6,7,7,5,5,7,7,Levitate,,,,,,Master,N
#481,Mesprit,Psychic,,4,6,6,5,5,6,6,6,6,6,6,Levitate,,,,,,Master,N
#482,Azelf,Psychic,,4,7,7,7,7,5,5,7,7,5,5,Levitate,,,,,,Master,N
#483,Dialga,Steel,Dragon,7,7,7,5,5,7,7,8,8,6,6,Pressure,,Telepathy,,,,Master,N
#484,Palkia,Water,Dragon,5,7,7,6,6,6,6,8,8,7,7,Pressure,,Telepathy,,,,Master,N
#485,Heatran,Fire,Steel,4,5,5,5,5,6,6,7,7,6,6,Flash Fire,,Flame Body,,,,Ace,
#486,Regigigas,Normal,,6,8,8,6,6,6,6,5,5,6,6,Slow Start,,,,,Yes,Master,N
#487,Giratina,Ghost,Dragon,8,6,6,5,5,7,7,6,6,7,7,Pressure,,Telepathy,,,Yes,Master,N
#488,Cresselia,Psychic,,6,5,5,5,5,7,7,5,5,7,7,Levitate,,,,,,Pro,F
#489,Phione,Water,,4,2,5,2,5,2,5,2,5,2,5,Hydration,,,,,,Pro,N
#490,Manaphy,Water,,5,6,6,6,6,6,6,6,6,6,6,Hydration,,,,,,Pro,N
#491,Darkrai,Dark,,4,5,5,7,7,5,5,7,7,5,5,Bad Dreams,,Absolution,,,,Pro,N
#492,Shaymin,Grass,,5,6,6,6,6,6,6,6,6,6,6,Natural Cure,,,,,Yes,Pro,N
#492,Sky Shaymin,Grass,Flying,5,6,6,7,7,5,5,7,7,5,5,Serene Grace,,,,,Yes,Pro,N
#493,Arceus,Normal,,6,12,12,12,12,12,12,12,12,12,12,Multitype,,,,,Yes,Master,N
#494,Victini,Psychic,Fire,5,6,6,6,6,6,6,6,6,6,6,Victory Star,,,,,,Pro,N
#495,Snivy,Grass,,3,2,4,2,4,2,4,2,4,2,4,Overgrow,,Contrary,,Yes,,Beginner,
#496,Servine,Grass,,4,2,4,2,5,2,5,2,4,2,5,Overgrow,,Contrary,,Yes,,Amateur,
#497,Serperior,Grass,,5,2,5,3,6,3,6,2,5,3,6,Overgrow,,Contrary,,,,Ace,
#498,Tepig,Fire,,3,2,4,2,4,2,4,2,4,2,4,Blaze,,Thick Fat,,Yes,,Beginner,
#499,Pignite,Fire,Fighting,4,2,5,2,4,2,4,2,5,2,4,Blaze,,Thick Fat,,Yes,,Amateur,
#500,Emboar,Fire,Fighting,5,3,7,2,4,2,4,3,6,2,4,Blaze,,Reckless,,,,Ace,
#501,Oshawott,Water,,3,2,4,2,4,2,4,2,4,2,4,Torrent,,Shell Armor,,Yes,,Starter,
#502,Dewott,Water,,4,2,5,2,4,2,4,2,5,2,4,Torrent,,Shell Armor,,Yes,,Amateur,
#503,Samurott,Water,,5,3,6,2,5,2,5,3,6,2,5,Torrent,,Shell Armor,,,,Ace,
#504,Patrat,Normal,,3,2,4,1,3,1,3,1,3,1,3,Run Away,Keen Eye,Analytic,,Yes,,Beginner,
#505,Watchog,Normal,,4,2,5,2,5,2,4,2,4,2,4,Run Away,Keen Eye,Analytic,,,,Amateur,
#506,Lillipup,Normal,,3,2,4,2,4,2,4,1,3,2,4,Vital Spirit,Sand Rush,Scrappy,,Yes,,Starter,
#507,Herdier,Normal,,4,2,5,2,4,2,4,1,3,2,4,Intimidate,Sand Rush,Scrappy,,Yes,,Amateur,
#508,Stoutland,Normal,,5,3,6,2,5,2,5,2,4,2,5,Intimidate,Sand Rush,Scrappy,,,,Amateur,
#509,Purrloin,Dark,,3,2,4,2,4,1,3,2,4,1,3,Limber,Unburden,Prankster,,Yes,,Beginner,
#510,Liepard,Dark,,4,2,5,2,6,2,4,2,5,2,4,Limber,Unburden,Prankster,,,,Amateur,
#511,Pansage,Grass,,3,2,4,2,4,2,4,2,4,2,4,Gluttony,,Overgrow,,Yes,,Beginner,
#512,Simisage,Grass,,4,3,6,3,6,2,4,3,6,2,4,Gluttony,,Overgrow,,,,Amateur,
#513,Pansear,Fire,,3,2,4,2,4,2,4,2,4,2,4,Gluttony,,Blaze,,Yes,,Beginner,
#514,Simisear,Fire,,4,3,6,3,6,2,4,3,6,2,4,Gluttony,,Blaze,,,,Amateur,
#515,Panpour,Water,,3,2,4,2,4,2,4,2,4,2,4,Gluttony,,Torrent,,Yes,,Beginner,
#516,Simipour,Water,,4,3,6,3,6,2,4,3,6,2,4,Gluttony,,Torrent,,,,Amateur,
#517,Munna,Psychic,,3,1,3,1,3,2,4,2,4,2,4,Forewarn,Synchronize,Telepathy,,Yes,,Beginner,
#518,Musharna,Psychic,,6,2,4,1,3,2,5,3,6,3,6,Forewarn,Synchronize,Telepathy,,,,Amateur,
#519,Pidove,Normal,Flying,3,2,4,1,3,2,4,1,3,1,3,Big Pecks,Super Luck,Rivalry,,Yes,,Starter,
#520,Tranquill,Normal,Flying,4,2,5,2,4,2,4,2,4,1,3,Big Pecks,Super Luck,Rivalry,,Yes,,Amateur,
#521,Unfezant,Normal,Flying,5,3,6,2,5,2,5,2,4,2,4,Big Pecks,Super Luck,Rivalry,,,,Amateur,
#522,Blitzle,Electric,,3,2,4,2,5,1,3,2,4,1,3,Lightning Rod,Motor Drive,Sap Sipper,,Yes,,Beginner,
#523,Zebstrika,Electric,,4,3,6,3,6,2,4,2,5,2,4,Lightning Rod,Motor Drive,Sap Sipper,,,Yes,Amateur,
#524,Roggenrola,Rock,,3,2,5,1,2,2,5,1,3,1,3,Sturdy,Weak Armor,Sand Force,,Yes,,Beginner,
#525,Boldore,Rock,,4,3,6,1,2,3,6,2,4,1,3,Sturdy,Weak Armor,Sand Force,,Yes,,Amateur,
#526,Gigalith,Rock,,5,3,7,1,3,3,7,2,4,2,5,Sturdy,Sand Stream,Sand Force,,,,Ace,
#527,Woobat,Psychic,Flying,3,2,4,2,5,1,3,2,4,1,3,Unaware,Klutz,Simple,,Yes,,Beginner,
#528,Swoobat,Psychic,Flying,4,2,4,3,6,2,4,2,5,2,4,Unaware,Klutz,Simple,,,,Amateur,
#529,Drilbur,Ground,,3,2,5,2,4,1,3,1,3,2,4,Sand Rush,Sand Force,Mold Breaker,,Yes,,Beginner,
#530,Excadrill,Ground,Steel,5,3,7,2,5,2,4,2,4,2,4,Sand Rush,Sand Force,Mold Breaker,,,,Amateur,
#531,Audino,Normal,,5,2,4,2,4,2,5,2,4,2,5,Healer,Regenerator,Klutz,,,Yes,Beginner,
#531,Mega-Audino,Normal,Fairy,6,2,4,2,4,3,7,2,5,3,7,Inner Focus,,,,,,Amateur,
#532,Timburr,Fighting,,3,2,5,1,3,2,4,1,3,1,3,Guts,Sheer Force,Iron Fist,,Yes,,Beginner,
#533,Gurdurr,Fighting,,4,3,6,1,3,2,5,1,3,2,4,Guts,Sheer Force,Iron Fist,,Yes,,Amateur,
#534,Conkeldurr,Fighting,,6,3,7,2,4,3,6,2,4,2,4,Guts,Sheer Force,Iron Fist,,,,Ace,
#535,Tympole,Water,,3,2,4,1,3,2,4,2,4,1,3,Swift Swim,Hydration,Water Absorb,,Yes,,Starter,
#536,Palpitoad,Water,Ground,4,2,4,2,4,2,4,2,4,2,4,Swift Swim,Hydration,Water Absorb,,Yes,,Beginner,
#537,Seismitoad,Water,Ground,6,2,6,2,5,2,5,2,5,2,5,Swift Swim,Poison Touch,Water Absorb,,,,Amateur,
#538,Throh,Fighting,,6,3,7,2,4,2,5,1,3,2,5,Guts,Inner Focus,Mold Breaker,,,,Amateur,M
#539,Sawk,Fighting,,4,3,7,2,5,2,5,1,3,2,5,Sturdy,Inner Focus,Mold Breaker,,,,Amateur,M
#540,Sewaddle,Bug,Grass,3,2,4,1,3,2,5,1,3,2,4,Swarm,Chlorophyll,Overcoat,,Yes,,Starter,
#541,Swadloon,Bug,Grass,4,2,4,1,3,2,5,2,4,2,5,Leaf Guard,Chlorophyll,Overcoat,,Yes,,Beginner,
#542,Leavanny,Bug,Grass,5,3,6,2,5,2,5,2,5,2,5,Swarm,Chlorophyll,Overcoat,,,,Amateur,
#543,Venipede,Bug,Poison,3,2,4,2,4,2,4,1,3,1,3,Poison Point,Swarm,Speed Boost,,Yes,,Amateur,
#544,Whirlipede,Bug,Poison,4,2,4,2,4,3,6,1,3,2,5,Poison Point,Swarm,Speed Boost,,Yes,,Ace,
#545,Scolipede,Bug,Poison,8,2,5,3,6,2,5,1,3,2,4,Poison Point,Swarm,Speed Boost,,,,Pro,
#546,Cottonee,Grass,Fairy,3,1,3,2,4,2,4,1,3,2,4,Prankster,Infiltrator,Chlorophyll,,Yes,,Beginner,
#547,Whimsicott,Grass,Fairy,4,2,4,3,6,2,5,2,5,2,5,Prankster,Infiltrator,Chlorophyll,,,,Amateur,
#548,Petilil,Grass,,3,1,3,1,3,2,4,2,5,2,4,Chlorophyll,Own Tempo,Leaf Guard,,Yes,,Beginner,F
#549,Lilligant,Grass,,4,2,4,2,5,2,5,3,6,2,5,Chlorophyll,Own Tempo,Leaf Guard,,,,Amateur,F
#550,Basculin,Water,,4,2,5,2,5,2,4,2,5,2,4,Reckless,Adaptibility,Mold Breaker,,,Yes,Amateur,
#551,Sandile,Ground,Dark,3,2,5,2,4,1,3,1,3,1,3,Intimidate,Moxie,Anger Point,,Yes,,Beginner,
#552,Krokorok,Ground,Dark,4,2,5,2,5,2,4,2,4,2,4,Intimidate,Moxie,Anger Point,,Yes,,Amateur,
#553,Krookodile,Ground,Dark,5,3,6,2,5,2,5,2,4,2,5,Intimidate,Moxie,Anger Point,,,,Ace,
#554,Darumaka,Fire,,3,2,5,2,4,2,4,1,2,2,4,Hustle,,Inner Focus,,Yes,,Beginner,
#554G,Galarian Darumaka,Ice,,3,3,7,3,6,2,4,1,3,2,4,Hustle,Inner Focus,,,,,Beginner,
#555,Darmanitan,Fire,,5,3,7,2,5,2,4,1,3,2,4,Sheer Force,,Zen Mode,,,Yes,Amateur,
#555,Zen Darmanitan,Fire,Psychic,5,1,3,2,4,3,6,3,7,3,6,Zen Mode,,,,,Yes,Amateur,
#555G,Galarian Darmanitan,Ice,,4,3,6,2,4,3,6,1,3,2,4,Gorilla Tactics,Zen Mode,,,,Yes,Amateur,
#555G,Galarian Zen Darmanitan,Ice,Fire,4,4,8,3,7,2,4,1,3,2,4,Gorilla Tactics,Zen Mode,,,,Yes,Amateur,
#556,Maractus,Grass,,4,2,5,2,4,2,4,3,6,2,4,Water Absorb,Chlorophyll,Storm Drain,,,,Amateur,
#557,Dwebble,Bug,Rock,3,2,4,2,4,2,5,1,3,1,3,Sturdy,Shell Armor,Weak Armor,,Yes,,Beginner,
